mysql> SELECT * FROM TRACKING;
+------------+--------+-------+---------+---------------------+--------------+----------+---------------+--------+-------+-------+-------+------+--------+--------+-----------------------+
| gameId     | playId | nflId | frameId | time                | jerseyNumber | team     | playDirection | x      | y     | s     | a     | dis  | o      | dir    | event                 |
+------------+--------+-------+---------+---------------------+--------------+----------+---------------+--------+-------+-------+-------+------+--------+--------+-----------------------+
| 2021090900 |     97 | 25511 |       1 | 2021-09-10 00:26:31 | 12           | TB       | right         |  37.77 | 24.22 |  0.29 |  0.30 | 0.03 | 165.16 | 84.99  | None                  |
| 2021090900 |     97 | 25511 |       2 | 2021-09-10 00:26:31 | 12           | TB       | right         |  37.78 | 24.22 |  0.23 |  0.11 | 0.02 | 164.33 | 92.87  | None                  |
| 2021090900 |     97 | 25511 |       3 | 2021-09-10 00:26:31 | 12           | TB       | right         |  37.78 | 24.24 |  0.16 |  0.10 | 0.01 | 160.24 | 68.55  | None                  |
| 2021090900 |     97 | 25511 |       4 | 2021-09-10 00:26:31 | 12           | TB       | right         |  37.73 | 24.25 |  0.15 |  0.24 | 0.06 | 152.13 | 296.85 | None                  |
| 2021090900 |     97 | 25511 |       5 | 2021-09-10 00:26:32 | 12           | TB       | right         |  37.69 | 24.26 |  0.25 |  0.18 | 0.04 | 148.33 | 287.55 | None                  |
| 2021090900 |     97 | 25511 |       6 | 2021-09-10 00:26:32 | 12           | TB       | right         |  37.64 | 24.26 |  0.35 |  0.53 | 0.05 | 144.42 | 282.72 | ball_snap             |
| 2021090900 |     97 | 25511 |       7 | 2021-09-10 00:26:32 | 12           | TB       | right         |  37.56 | 24.26 |  0.54 |  1.05 | 0.08 | 137.49 | 272.95 | None                  |
| 2021090900 |     97 | 25511 |       8 | 2021-09-10 00:26:32 | 12           | TB       | right         |  37.47 | 24.25 |  0.80 |  1.85 | 0.09 | 131.95 | 267.49 | None                  |
| 2021090900 |     97 | 25511 |       9 | 2021-09-10 00:26:32 | 12           | TB       | right         |  37.38 | 24.24 |  0.99 |  2.03 | 0.09 | 129.85 | 263.48 | None                  |
| 2021090900 |     97 | 25511 |      10 | 2021-09-10 00:26:32 | 12           | TB       | right         |  37.27 | 24.23 |  1.19 |  1.82 | 0.11 | 123.79 | 263.77 | None                  |
| 2021090900 |     97 | 25511 |      11 | 2021-09-10 00:26:32 | 12           | TB       | right         |  37.14 | 24.22 |  1.38 |  1.61 | 0.13 | 119.88 | 261.95 | None                  |
| 2021090900 |     97 | 25511 |      12 | 2021-09-10 00:26:32 | 12           | TB       | right         |  36.99 | 24.19 |  1.57 |  1.43 | 0.15 | 113.65 | 260.27 | None                  |
| 2021090900 |     97 | 25511 |      13 | 2021-09-10 00:26:32 | 12           | TB       | right         |  36.80 | 24.16 |  1.82 |  1.37 | 0.19 | 107.99 | 261.01 | None                  |
| 2021090900 |     97 | 25511 |      14 | 2021-09-10 00:26:32 | 12           | TB       | right         |  36.56 | 24.15 |  2.23 |  1.63 | 0.25 | 114.8  | 264.15 | None                  |
| 2021090900 |     97 | 25511 |      15 | 2021-09-10 00:26:33 | 12           | TB       | right         |  36.34 | 24.12 |  2.36 |  1.28 | 0.23 | 119.55 | 263.17 | None                  |
| 2021090900 |     97 | 25511 |      16 | 2021-09-10 00:26:33 | 12           | TB       | right         |  36.10 | 24.10 |  2.45 |  1.00 | 0.24 | 122.01 | 264.81 | None                  |
| 2021090900 |     97 | 25511 |      17 | 2021-09-10 00:26:33 | 12           | TB       | right         |  35.86 | 24.08 |  2.50 |  0.77 | 0.24 | 124.38 | 265.92 | None                  |
| 2021090900 |     97 | 25511 |      18 | 2021-09-10 00:26:33 | 12           | TB       | right         |  35.63 | 24.05 |  2.35 |  0.40 | 0.23 | 128.26 | 263.13 | None                  |
| 2021090900 |     97 | 25511 |      19 | 2021-09-10 00:26:33 | 12           | TB       | right         |  35.42 | 24.02 |  2.11 |  1.23 | 0.21 | 142.06 | 261.04 | None                  |
| 2021090900 |     97 | 25511 |      20 | 2021-09-10 00:26:33 | 12           | TB       | right         |  35.22 | 23.98 |  1.96 |  1.55 | 0.20 | 151.05 | 258.95 | None                  |
| 2021090900 |     97 | 25511 |      21 | 2021-09-10 00:26:33 | 12           | TB       | right         |  35.04 | 23.96 |  1.81 |  1.47 | 0.18 | 160.69 | 261.93 | None                  |
| 2021090900 |     97 | 25511 |      22 | 2021-09-10 00:26:33 | 12           | TB       | right         |  34.86 | 23.94 |  1.75 |  1.27 | 0.18 | 159.62 | 265.71 | None                  |
| 2021090900 |     97 | 25511 |      23 | 2021-09-10 00:26:33 | 12           | TB       | right         |  34.68 | 23.94 |  1.70 |  1.08 | 0.18 | 153.09 | 268.47 | None                  |
| 2021090900 |     97 | 25511 |      24 | 2021-09-10 00:26:33 | 12           | TB       | right         |  34.51 | 23.92 |  1.61 |  0.91 | 0.17 | 152.23 | 266.76 | None                  |
| 2021090900 |     97 | 25511 |      25 | 2021-09-10 00:26:34 | 12           | TB       | right         |  34.36 | 23.89 |  1.57 |  0.75 | 0.16 | 147.58 | 260.46 | None                  |
| 2021090900 |     97 | 25511 |      26 | 2021-09-10 00:26:34 | 12           | TB       | right         |  34.21 | 23.85 |  1.45 |  0.93 | 0.15 | 151.73 | 255.9  | None                  |
| 2021090900 |     97 | 25511 |      27 | 2021-09-10 00:26:34 | 12           | TB       | right         |  34.08 | 23.79 |  1.40 |  1.13 | 0.14 | 150.68 | 247.23 | None                  |
| 2021090900 |     97 | 25511 |      28 | 2021-09-10 00:26:34 | 12           | TB       | right         |  33.97 | 23.70 |  1.36 |  1.45 | 0.14 | 146.15 | 234.97 | None                  |
| 2021090900 |     97 | 25511 |      29 | 2021-09-10 00:26:34 | 12           | TB       | right         |  33.86 | 23.60 |  1.42 |  1.59 | 0.15 | 141.71 | 225.9  | None                  |
| 2021090900 |     97 | 25511 |      30 | 2021-09-10 00:26:34 | 12           | TB       | right         |  33.77 | 23.43 |  1.73 |  2.44 | 0.19 | 138.24 | 212.52 | None                  |
| 2021090900 |     97 | 25511 |      31 | 2021-09-10 00:26:34 | 12           | TB       | right         |  33.68 | 23.28 |  1.90 |  2.38 | 0.18 | 132.91 | 206.37 | None                  |
| 2021090900 |     97 | 25511 |      32 | 2021-09-10 00:26:34 | 12           | TB       | right         |  33.60 | 23.09 |  2.18 |  2.72 | 0.21 | 127.59 | 200.65 | None                  |
| 2021090900 |     97 | 25511 |      33 | 2021-09-10 00:26:34 | 12           | TB       | right         |  33.53 | 22.85 |  2.59 |  2.81 | 0.25 | 127.59 | 195.67 | None                  |
| 2021090900 |     97 | 25511 |      34 | 2021-09-10 00:26:34 | 12           | TB       | right         |  33.44 | 22.58 |  2.93 |  2.39 | 0.29 | 125.28 | 195.63 | None                  |
| 2021090900 |     97 | 25511 |      35 | 2021-09-10 00:26:35 | 12           | TB       | right         |  33.33 | 22.25 |  3.41 |  2.34 | 0.34 | 119.2  | 197.16 | None                  |
| 2021090900 |     97 | 25511 |      36 | 2021-09-10 00:26:35 | 12           | TB       | right         |  33.21 | 21.92 |  3.64 |  1.81 | 0.36 | 110.46 | 197.63 | None                  |
| 2021090900 |     97 | 25511 |      37 | 2021-09-10 00:26:35 | 12           | TB       | right         |  33.10 | 21.56 |  3.80 |  1.28 | 0.37 | 101.96 | 197.54 | None                  |
| 2021090900 |     97 | 25511 |      38 | 2021-09-10 00:26:35 | 12           | TB       | right         |  32.99 | 21.21 |  3.83 |  0.66 | 0.37 | 93.88  | 197.54 | autoevent_passforward |
| 2021090900 |     97 | 25511 |      39 | 2021-09-10 00:26:35 | 12           | TB       | right         |  32.85 | 20.85 |  3.89 |  0.50 | 0.39 | 94.79  | 200    | None                  |
| 2021090900 |     97 | 25511 |      40 | 2021-09-10 00:26:35 | 12           | TB       | right         |  32.69 | 20.50 |  3.83 |  0.94 | 0.38 | 92.79  | 202.55 | pass_forward          |
| 2021090900 |     97 | 25511 |      41 | 2021-09-10 00:26:35 | 12           | TB       | right         |  32.53 | 20.17 |  3.72 |  1.38 | 0.37 | 77.42  | 205.3  | None                  |
| 2021090900 |     97 | 25511 |      42 | 2021-09-10 00:26:35 | 12           | TB       | right         |  32.30 | 19.85 |  3.80 |  2.09 | 0.40 | 66.38  | 213.3  | None                  |
| 2021090900 |     97 | 25511 |      43 | 2021-09-10 00:26:35 | 12           | TB       | right         |  32.07 | 19.54 |  3.79 |  2.32 | 0.38 | 62.63  | 217.3  | None                  |
| 2021090900 |     97 | 35481 |       1 | 2021-09-10 00:26:31 | 87           | TB       | right         |  41.08 | 29.15 |  0.31 |  0.43 | 0.03 | 35.96  | 238.77 | None                  |
| 2021090900 |     97 | 35481 |       2 | 2021-09-10 00:26:31 | 87           | TB       | right         |  41.34 | 29.45 |  0.38 |  1.02 | 0.40 | 102.09 | 29.56  | None                  |
| 2021090900 |     97 | 35481 |       3 | 2021-09-10 00:26:31 | 87           | TB       | right         |  41.53 | 29.39 |  0.61 |  1.10 | 0.20 | 68.16  | 71.57  | None                  |
| 2021090900 |     97 | 35481 |       4 | 2021-09-10 00:26:31 | 87           | TB       | right         |  41.53 | 29.38 |  0.53 |  0.76 | 0.01 | 73.06  | 82.44  | None                  |
| 2021090900 |     97 | 35481 |       5 | 2021-09-10 00:26:32 | 87           | TB       | right         |  41.54 | 29.36 |  0.97 |  1.52 | 0.03 | 76.6   | 75.14  | None                  |
| 2021090900 |     97 | 35481 |       6 | 2021-09-10 00:26:32 | 87           | TB       | right         |  41.65 | 29.34 |  1.20 |  1.78 | 0.10 | 78.97  | 63.46  | ball_snap             |
| 2021090900 |     97 | 35481 |       7 | 2021-09-10 00:26:32 | 87           | TB       | right         |  41.75 | 29.36 |  1.56 |  2.19 | 0.11 | 82.37  | 56.7   | None                  |
| 2021090900 |     97 | 35481 |       8 | 2021-09-10 00:26:32 | 87           | TB       | right         |  41.87 | 29.42 |  2.03 |  2.65 | 0.13 | 73.75  | 51.87  | None                  |
| 2021090900 |     97 | 35481 |       9 | 2021-09-10 00:26:32 | 87           | TB       | right         |  42.04 | 29.55 |  2.27 |  2.27 | 0.22 | 75.34  | 47.75  | None                  |
| 2021090900 |     97 | 35481 |      10 | 2021-09-10 00:26:32 | 87           | TB       | right         |  42.21 | 29.71 |  2.48 |  1.94 | 0.23 | 78.47  | 45.17  | None                  |
